pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
Melanoma,melanom,CDKN1A,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PDGFC,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PDGFB,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PTEN,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PDGFA,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PIK3CD,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF2,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF3,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF4,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,IGF1R,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF5,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF6,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF7,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF8,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF9,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PDGFD,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,MAPK3,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,POLK,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,BAK1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,HRAS,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,MAPK1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma WP4685,melanom,BAD,WikiPathways_2024_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma WP4685,melanom,MITF,WikiPathways_2024_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma WP4685,melanom,BRAF,WikiPathways_2024_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma WP4685,melanom,CDK6,WikiPathways_2024_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma WP4685,melanom,PIK3CB,WikiPathways_2024_Human,EFO_0000756,melanoma,['MONDO_0045024']
