pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
Gastrointestinal carcinoma (HP:0002672),carcinoma,EPCAM,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,EP300,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,AKT1,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,PMS2,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Genes with Mutations Associated with Cataract,cataract,LIM2,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYGS,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYBB2,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYBB1,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYBB3,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,SLC16A12,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYBA4,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,BFSP1,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYGD,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,GALK1,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,MAF,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,MIP,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,BFSP2,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYGC,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,GJA3,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,GJA8,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,HSF4,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYAB,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,EPHA2,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,PITX3,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Cataract,cataract,CRYAA,Elsevier_Pathway_Collection,MONDO_0005129,cataract,"['OTAR_0000018', 'MONDO_0024458']"
Genes with Mutations Associated with Glaucoma,glaucoma,FOXC1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,PAX6,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,SLC4A4,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,LOXL1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,LTBP2,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,WDR36,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,ADAMTS10,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,ADAMTS17,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,ASB10,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,LMX1B,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,TBK1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,NTF4,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,CYP1B1,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,MYOC,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,PITX2,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Glaucoma,glaucoma,OPTN,Elsevier_Pathway_Collection,MONDO_0005041,glaucoma,['MONDO_0024458']
Genes with Mutations Associated with Melanoma,melanom,CDKN2A,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,CDKN2B,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,CTNNB1,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,MITF,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,PTEN,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,BRAF,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,NRAS,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,PREX2,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,KIT,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,GNA11,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,AKT3,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,CDK4,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Genes with Mutations Associated with Melanoma,melanom,TP53,Elsevier_Pathway_Collection,EFO_0000756,melanoma,['MONDO_0045024']
Glaucoma,glaucoma,CHRM3,MAGMA_Drugs_and_Diseases,MONDO_0005041,glaucoma,['MONDO_0024458']
Glaucoma,glaucoma,CHRM4,MAGMA_Drugs_and_Diseases,MONDO_0005041,glaucoma,['MONDO_0024458']
Glaucoma,glaucoma,CHRM1,MAGMA_Drugs_and_Diseases,MONDO_0005041,glaucoma,['MONDO_0024458']
Glaucoma,glaucoma,CHRM2,MAGMA_Drugs_and_Diseases,MONDO_0005041,glaucoma,['MONDO_0024458']
Glaucoma,glaucoma,CHRM5,MAGMA_Drugs_and_Diseases,MONDO_0005041,glaucoma,['MONDO_0024458']
Glucose intolerance (HP:0000833),glucose intolerance,LMNA,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,PIK3R1,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,WFS1,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,IFT172,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
Glucose intolerance (HP:0000833),glucose intolerance,AIP,Human_Phenotype_Ontology,HP_0001952,Glucose intolerance,['EFO_0000651']
